Date_wk1,Date_wk9,Plant_ID,Species,Treatment,Temperature,Nitrogen,Heightwk1_cm,Heightwk9_cm,diff_9_1_cm,Rt_len_cm,Rt_coll_cm,Nema_Abund_count,BF_count,FF_count,PF_count,OM_count,PD_count,original_data_order
6/23/2017,8/16/2017,448,Red cedar,Control,ControlT,ControlN,7.5,19.1,11.61,30.81,0.32,2,0,0,1,0,1,14
6/23/2017,8/16/2017,474,Red cedar,Control,ControlT,ControlN,10.3,27.6,17.31,49,0.59,2,0,0,0,1,1,16
6/23/2017,8/16/2017,531,Red cedar,Control,ControlT,ControlN,7.3,22.4,15.07,39.35,0.37,0,0,0,0,0,0,20
6/23/2017,8/16/2017,547,Red cedar,Control,ControlT,ControlN,7.5,22.2,14.74,50.02,0.19,1,0,0,0,0,1,23
6/23/2017,8/16/2017,576,Red cedar,Control,ControlT,ControlN,7.6,22.1,14.51,66.11,0.28,3,0,0,0,0,3,27
6/23/2017,8/16/2017,587,Red cedar,Control,ControlT,ControlN,7.8,24,16.19,38.33,0.47,0,0,0,0,0,0,31
6/23/2017,8/16/2017,450,Red cedar,N+W,ElevatedT,ElevatedN,7.3,23,15.69,36.89,0.46,2,0,1,0,0,1,43
6/23/2017,8/16/2017,476,Red cedar,N+W,ElevatedT,ElevatedN,8.8,26.2,17.44,27.96,0.48,1,0,0,0,0,1,45
6/23/2017,8/16/2017,479,Red cedar,N+W,ElevatedT,ElevatedN,7.3,20.7,13.35,39.87,0.44,4,0,0,0,2,2,46
6/23/2017,8/16/2017,538,Red cedar,N+W,ElevatedT,ElevatedN,9.3,28.3,18.99,40.72,0.23,1,0,0,0,0,1,51
6/23/2017,8/16/2017,539,Red cedar,N+W,ElevatedT,ElevatedN,7.5,21.6,14.1,37.28,0.4,14,0,0,1,8,5,52
6/23/2017,8/16/2017,589,Red cedar,N+W,ElevatedT,ElevatedN,12.1,33.4,21.3,38.46,0.41,25,0,0,4,8,13,59
6/23/2017,8/16/2017,435,Red cedar,Nitrogen,ControlT,ElevatedN,9.2,27.2,18.04,47.32,0.42,10,1,0,1,2,6,73
6/23/2017,8/16/2017,439,Red cedar,Nitrogen,ControlT,ElevatedN,12.8,27.5,14.72,48.56,0.56,1,0,0,0,0,1,75
6/23/2017,8/16/2017,442,Red cedar,Nitrogen,ControlT,ElevatedN,7.9,28.3,20.37,32.22,0.35,4,0,0,0,0,4,77
6/23/2017,8/16/2017,445,Red cedar,Nitrogen,ControlT,ElevatedN,8.7,26.9,18.18,47.48,0.58,6,0,0,0,3,3,78
6/23/2017,8/16/2017,574,Red cedar,Nitrogen,ControlT,ElevatedN,8.8,20.9,12.08,28.71,0.27,1,0,0,0,0,1,87
6/23/2017,8/16/2017,590,Red cedar,Nitrogen,ControlT,ElevatedN,8.7,22.9,14.15,50.54,0.43,4,0,1,0,1,2,90
6/23/2017,8/16/2017,443,Red cedar,Warming,ElevatedT,ControlN,7.8,26.6,18.79,39,0.38,9,1,0,0,1,7,102
6/23/2017,8/16/2017,446,Red cedar,Warming,ElevatedT,ControlN,11.7,30.2,18.5,34.57,0.56,0,0,0,0,0,0,104
6/23/2017,8/16/2017,477,Red cedar,Warming,ElevatedT,ControlN,7.4,22.2,14.78,34.72,0.39,10,0,0,1,0,9,106
6/23/2017,8/16/2017,478,Red cedar,Warming,ElevatedT,ControlN,10.2,20.4,10.15,38.5,0.32,0,0,0,0,0,0,107
6/23/2017,8/16/2017,489,Red cedar,Warming,ElevatedT,ControlN,6.1,20.8,14.69,40,0.48,3,0,0,0,0,3,110
6/23/2017,8/16/2017,540,Red cedar,Warming,ElevatedT,ControlN,9,25.1,16.11,37.6,0.55,0,0,0,0,0,0,112
6/23/2017,8/16/2017,312,Douglas-fir,Control,ControlT,ControlN,9.2,32.1,22.88,27.96,0.44,32,0,0,6,0,28,154
6/23/2017,8/16/2017,380,Douglas-fir,Control,ControlT,ControlN,6,20.1,14.13,29.03,0.24,13,0,0,3,0,15,169
6/23/2017,8/16/2017,470,Douglas-fir,Control,ControlT,ControlN,9.5,21.3,11.78,30.01,0.41,22,0,0,1,0,21,184
6/23/2017,8/16/2017,519,Douglas-fir,Control,ControlT,ControlN,10.5,27.9,17.4,21.12,0.39,18,0,0,6,0,12,187
6/23/2017,8/16/2017,603,Douglas-fir,Control,ControlT,ControlN,7.1,29.3,22.18,25.51,0.45,4,0,0,0,0,4,197
6/23/2017,8/16/2017,612,Douglas-fir,Control,ControlT,ControlN,5.7,18.2,12.45,37.26,0.38,14,0,0,2,2,10,201
6/23/2017,8/16/2017,257,Douglas-fir,N+W,ElevatedT,ElevatedN,6.1,25.2,19.1,24.79,0.26,8,0,0,1,0,7,245
6/23/2017,8/16/2017,272,Douglas-fir,N+W,ElevatedT,ElevatedN,5,22.9,17.94,34,0.24,10,0,0,1,0,9,248
6/23/2017,8/18/2017,315,Douglas-fir,N+W,ElevatedT,ElevatedN,7.3,23.9,16.61,30.18,0.4,58,2,2,21,7,26,259
6/23/2017,8/18/2017,453,Douglas-fir,N+W,ElevatedT,ElevatedN,7.6,27.5,19.9,37.09,0.5,36,2,4,10,2,18,274
6/23/2017,8/18/2017,467,Douglas-fir,N+W,ElevatedT,ElevatedN,6.8,21.6,14.76,26.23,0.21,9,0,0,2,0,10,276
6/23/2017,8/18/2017,525,Douglas-fir,N+W,ElevatedT,ElevatedN,11.6,23.6,12.01,26.39,0.49,15,2,0,8,0,5,279
6/23/2017,8/18/2017,258,Douglas-fir,Nitrogen,ControlT,ElevatedN,4.5,23,18.54,29.21,0.1,2,0,0,0,0,2,329
6/23/2017,8/18/2017,372,Douglas-fir,Nitrogen,ControlT,ElevatedN,5.3,25,19.7,32.1,0.39,0,0,0,0,0,0,346
6/23/2017,8/18/2017,511,Douglas-fir,Nitrogen,ControlT,ElevatedN,6.6,30.4,23.75,47.2,0.25,5,0,0,0,0,5,359
6/23/2017,8/18/2017,527,Douglas-fir,Nitrogen,ControlT,ElevatedN,6.9,20.2,13.31,25.49,0.3,0,0,0,0,0,0,365
6/23/2017,8/18/2017,591,Douglas-fir,Nitrogen,ControlT,ElevatedN,8.2,22.2,14.01,25.49,0.3,11,0,0,1,0,10,366
6/23/2017,8/18/2017,596,Douglas-fir,Nitrogen,ControlT,ElevatedN,6.8,29.8,22.97,34.31,0.22,0,0,0,0,0,0,367
6/23/2017,8/18/2017,126,Douglas-fir,Warming,ElevatedT,ControlN,5.7,27.5,21.79,28.02,0.23,2,0,0,0,0,2,392
6/23/2017,8/18/2017,256,Douglas-fir,Warming,ElevatedT,ControlN,6,22.2,16.22,34.27,0.39,0,0,0,0,0,0,413
6/23/2017,8/18/2017,270,Douglas-fir,Warming,ElevatedT,ControlN,6.1,18.7,12.56,28.95,0.18,0,0,0,0,0,0,417
6/23/2017,8/18/2017,376,Douglas-fir,Warming,ElevatedT,ControlN,10.2,32.7,22.47,25.31,0.2,1,0,0,1,0,0,439
6/23/2017,8/18/2017,427,Douglas-fir,Warming,ElevatedT,ControlN,12.1,31.9,19.8,23.25,0.29,2,0,0,0,0,2,443
6/23/2017,8/18/2017,599,Douglas-fir,Warming,ElevatedT,ControlN,8.7,32.5,23.82,26.82,0.15,1,0,0,0,0,1,454
6/23/2017,8/18/2017,196,Western hemlock,Control,ControlT,ControlN,12.8,27.7,14.87,34.5,0.44,14,0,0,1,1,12,476
6/23/2017,8/18/2017,495,Western hemlock,Control,ControlT,ControlN,9.9,17,7.14,21.98,0.2,5,0,0,1,0,4,478
6/23/2017,8/18/2017,497,Western hemlock,Control,ControlT,ControlN,12.3,25.2,12.85,31.78,0.18,0,0,0,0,0,0,479
6/23/2017,8/18/2017,498,Western hemlock,Control,ControlT,ControlN,11.5,20.8,9.26,34.61,0.15,13,0,0,0,0,13,480
6/23/2017,8/18/2017,500,Western hemlock,Control,ControlT,ControlN,11.5,21.4,9.86,38.21,0.24,0,0,0,0,0,0,481
6/23/2017,8/18/2017,558,Western hemlock,Control,ControlT,ControlN,5.3,15.6,10.29,18.4,0.13,3,0,0,0,0,3,487
6/23/2017,8/18/2017,184,Western hemlock,N+W,ElevatedT,ElevatedN,7.1,22.2,15.14,13.31,0.24,1,0,0,0,0,1,506
6/23/2017,8/18/2017,199,Western hemlock,N+W,ElevatedT,ElevatedN,13.8,33.9,20.06,36.73,0.4,5,0,0,0,1,4,511
6/23/2017,8/18/2017,200,Western hemlock,N+W,ElevatedT,ElevatedN,11.5,27.1,15.6,33.91,0.35,19,0,0,3,0,16,512
6/23/2017,8/18/2017,491,Western hemlock,N+W,ElevatedT,ElevatedN,11,25.2,14.19,29.13,0.3,13,0,0,2,0,11,513
6/23/2017,8/18/2017,510,Western hemlock,N+W,ElevatedT,ElevatedN,16.1,33.3,17.2,41.92,0.32,3,0,0,3,0,0,516
6/23/2017,8/18/2017,570,Western hemlock,N+W,ElevatedT,ElevatedN,7.7,19.9,12.23,41.15,0.19,19,0,0,0,0,19,520
6/23/2017,8/18/2017,93,Western hemlock,Nitrogen,ControlT,ElevatedN,13.8,29.9,16.05,25.93,0.32,9,0,0,1,0,8,530
6/23/2017,8/18/2017,144,Western hemlock,Nitrogen,ControlT,ElevatedN,6.3,13.9,7.64,23.39,0.2,7,0,0,1,4,2,533
6/23/2017,8/18/2017,154,Western hemlock,Nitrogen,ControlT,ElevatedN,13.2,26.6,13.42,26.3,0.34,5,0,0,1,0,4,535
6/23/2017,8/18/2017,156,Western hemlock,Nitrogen,ControlT,ElevatedN,8.8,19.6,10.78,23.68,0.11,5,0,0,0,0,5,537
6/23/2017,8/18/2017,557,Western hemlock,Nitrogen,ControlT,ElevatedN,13.5,31.3,17.76,35.12,0.32,2,0,0,0,2,0,547
6/23/2017,8/18/2017,564,Western hemlock,Nitrogen,ControlT,ElevatedN,10.8,27.4,16.57,24.39,0.4,2,0,0,0,0,2,549
6/23/2017,8/18/2017,83,Western hemlock,Warming,ElevatedT,ControlN,11,23.8,12.83,31.27,0.27,13,0,0,0,4,9,556
6/23/2017,8/18/2017,501,Western hemlock,Warming,ElevatedT,ControlN,10,19.4,9.39,27.12,0.3,1,0,0,0,1,0,571
6/23/2017,8/18/2017,505,Western hemlock,Warming,ElevatedT,ControlN,9.1,17.6,8.46,26.32,0.14,6,0,0,0,1,5,572
6/23/2017,8/18/2017,553,Western hemlock,Warming,ElevatedT,ControlN,9.3,23.4,14.07,26.34,0.16,5,0,0,0,0,5,574
6/23/2017,8/18/2017,560,Western hemlock,Warming,ElevatedT,ControlN,8.5,14.3,5.84,32.07,0.22,0,0,0,0,0,0,577
6/23/2017,8/18/2017,569,Western hemlock,Warming,ElevatedT,ControlN,12.6,23.8,11.16,26.91,0.22,2,0,0,0,1,1,579
